2013-11-26_07:09:51.255|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003004
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003005
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003007
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003008
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003009
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003010
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003011
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003012
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003101
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003102
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003103
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003104
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003107
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003108
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003112
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003113
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003114
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003206
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003310
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003311
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003312
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003505
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003508
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003509
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003901
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003902
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Server::registMyService|cmd id = 0x10003903
2013-11-26_07:09:51.256|I|9302|B7F0D6E0|INFO|Service|GameID=1204
2013-11-26_07:09:51.259|I|9302|06D68B90|INFO|AllServer::initIPMap::getIPCount|0|
2013-11-26_07:09:51.259|I|9302|06D68B90|INFO|AllServer::getIPCount|1|ip_total=0|ip_size=0|TC_SORT=0|TC=3
2013-11-26_07:09:51.260|I|9302|B7F0D6E0|INFO|GateID=0x9999|APPID=0x5|GameId=4b4|Initializing GateClient Success!
2013-11-26_07:09:51.260|I|9302|B7F0D6E0|INFO|AllServer is running now!
2013-11-26_07:09:51.270|I|9302|B7F0D6E0|INFO|Server::refreshNetwork|1|connect Addr=(127.0.0.1:19999)
2013-11-26_07:09:51.272|I|9302|B7F0D6E0|INFO|Server::onConnectOK|1|Addr=(127.0.0.1:19999)
2013-11-26_07:10:21.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:10:51.002|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:11:21.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:11:51.003|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:12:21.001|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:12:51.001|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:13:21.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:13:51.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:14:21.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:14:51.004|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:15:21.001|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:15:51.002|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:16:21.001|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:16:51.001|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:17:21.002|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:17:51.002|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:18:21.002|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:18:51.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
2013-11-26_07:19:21.000|I|9302|B7F0D6E0|INFO|heartBeat|To|Addr=(127.0.0.1:19999)
