2013-12-03_01:02:42.768|I|30773|B7F1A6D0|INFO|GateID=0x9999|AppID=0x1|GameID=0|MaxTryTimes=10|CheckSum=0|
2013-12-03_01:02:42.768|I|30773|B7F1A6D0|INFO|ACL|0
2013-12-03_01:02:42.773|I|30773|B7F1A6D0|INFO|router init ok!
2013-12-03_01:02:42.773|I|30773|B7F1A6D0|INFO|RouterServer is running now!
2013-12-03_01:02:42.785|I|30773|B7F1A6D0|INFO|Router|1|listen at port 9999
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003007|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003101|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003102|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003103|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003104|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003107|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003108|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003206|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003505|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003508|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003509|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003901|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003902|GatewayID=0|GameID=1204
2013-12-03_01:09:17.320|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51753)|CmdID=0x10003903|GatewayID=0|GameID=1204
2013-12-03_01:09:18.337|I|30773|B7F1A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:51763)
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10001001|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003402|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003403|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003405|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003406|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003502|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003700|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003701|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003702|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003703|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003704|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003708|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003709|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003710|GatewayID=0|GameID=1204
2013-12-03_01:09:18.340|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51763)|CmdID=0x10003712|GatewayID=0|GameID=1204
2013-12-03_01:09:19.362|I|30773|B7F1A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:51774)
2013-12-03_01:09:19.362|I|30773|B7F1A6D0|INFO|registService|Addr=(127.0.0.1:51774)|CmdID=0x10003802|GatewayID=0|GameID=1204
