2013-12-03_01:28:58.095|I|31329|B7F6A6D0|INFO|GateID=0x9999|AppID=0x1|GameID=0|MaxTryTimes=10|CheckSum=0|
2013-12-03_01:28:58.095|I|31329|B7F6A6D0|INFO|ACL|0
2013-12-03_01:28:58.101|I|31329|B7F6A6D0|INFO|router init ok!
2013-12-03_01:28:58.101|I|31329|B7F6A6D0|INFO|RouterServer is running now!
2013-12-03_01:28:58.111|I|31329|B7F6A6D0|INFO|Router|1|listen at port 9999
2013-12-03_01:28:58.119|I|31329|B7F6A6D0|INFO|Router|1|listen at port 19999
2013-12-03_01:28:58.119|I|31329|B7F6A6D0|INFO|onListenOK|1|Addr=(0.0.0.0:9999)
2013-12-03_01:28:58.119|I|31329|B7F6A6D0|INFO|onListenOK|1|Addr=(0.0.0.0:19999)
2013-12-03_01:28:59.131|I|31329|B7F6A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:58988)
2013-12-03_01:28:59.133|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:58988)|CmdID=0|GatewayID=0|GameID=0
2013-12-03_01:29:00.179|I|31329|B7F6A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:58999)
2013-12-03_01:29:00.181|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:58999)|CmdID=0x10000001|GatewayID=0|GameID=1204
2013-12-03_01:29:00.181|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:58999)|CmdID=0x10000002|GatewayID=0|GameID=1204
2013-12-03_01:29:00.181|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:58999)|CmdID=0x10002003|GatewayID=0|GameID=1204
2013-12-03_01:29:00.181|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:58999)|CmdID=0x10004201|GatewayID=0|GameID=1204
2013-12-03_01:29:01.209|I|31329|B7F6A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:59009)
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003105|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003106|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003109|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003202|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003301|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003302|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003303|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003304|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003305|GatewayID=0|GameID=1204
2013-12-03_01:29:01.211|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59009)|CmdID=0x10003306|GatewayID=0|GameID=1204
2013-12-03_01:29:02.232|I|31329|B7F6A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:59019)
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003004|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003007|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003101|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003102|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003103|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003104|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003107|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003108|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003206|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003505|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003508|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003509|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003901|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003902|GatewayID=0|GameID=1204
2013-12-03_01:29:02.234|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59019)|CmdID=0x10003903|GatewayID=0|GameID=1204
2013-12-03_01:29:03.261|I|31329|B7F6A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:59029)
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10001001|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003402|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003403|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003405|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003406|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003502|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003700|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003701|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003702|GatewayID=0|GameID=1204
2013-12-03_01:29:03.264|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003703|GatewayID=0|GameID=1204
2013-12-03_01:29:03.267|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003704|GatewayID=0|GameID=1204
2013-12-03_01:29:03.267|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003708|GatewayID=0|GameID=1204
2013-12-03_01:29:03.267|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003709|GatewayID=0|GameID=1204
2013-12-03_01:29:03.267|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003710|GatewayID=0|GameID=1204
2013-12-03_01:29:03.267|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59029)|CmdID=0x10003712|GatewayID=0|GameID=1204
2013-12-03_01:29:04.288|I|31329|B7F6A6D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:59040)
2013-12-03_01:29:04.288|I|31329|B7F6A6D0|INFO|registService|Addr=(127.0.0.1:59040)|CmdID=0x10003802|GatewayID=0|GameID=1204
