2013-12-03_01:32:52.835|I|31530|B7F956D0|INFO|GateID=0x9999|AppID=0x1|GameID=0|MaxTryTimes=10|CheckSum=0|
2013-12-03_01:32:52.835|I|31530|B7F956D0|INFO|ACL|0
2013-12-03_01:32:52.841|I|31530|B7F956D0|INFO|router init ok!
2013-12-03_01:32:52.841|I|31530|B7F956D0|INFO|RouterServer is running now!
2013-12-03_01:32:52.852|I|31530|B7F956D0|INFO|Router|1|listen at port 9999
2013-12-03_01:32:52.860|I|31530|B7F956D0|INFO|Router|1|listen at port 19999
2013-12-03_01:32:52.860|I|31530|B7F956D0|INFO|onListenOK|1|Addr=(0.0.0.0:9999)
2013-12-03_01:32:52.860|I|31530|B7F956D0|INFO|onListenOK|1|Addr=(0.0.0.0:19999)
2013-12-03_01:32:53.869|I|31530|B7F956D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:60439)
2013-12-03_01:32:53.873|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60439)|CmdID=0|GatewayID=0|GameID=0
2013-12-03_01:32:54.922|I|31530|B7F956D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:60450)
2013-12-03_01:32:54.924|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60450)|CmdID=0x10000001|GatewayID=0|GameID=1204
2013-12-03_01:32:54.924|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60450)|CmdID=0x10000002|GatewayID=0|GameID=1204
2013-12-03_01:32:54.924|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60450)|CmdID=0x10002003|GatewayID=0|GameID=1204
2013-12-03_01:32:54.924|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60450)|CmdID=0x10004201|GatewayID=0|GameID=1204
2013-12-03_01:32:55.948|I|31530|B7F956D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:60461)
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003105|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003106|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003109|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003202|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003301|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003302|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003303|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003304|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003305|GatewayID=0|GameID=1204
2013-12-03_01:32:55.950|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60461)|CmdID=0x10003306|GatewayID=0|GameID=1204
2013-12-03_01:32:56.975|I|31530|B7F956D0|INFO|onAcceptOK|1|Addr=(127.0.0.1:60471)
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003004|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003007|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003101|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003102|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003103|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003104|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003107|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003108|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003206|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003505|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003508|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003509|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003901|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003902|GatewayID=0|GameID=1204
2013-12-03_01:32:56.978|I|31530|B7F956D0|INFO|registService|Addr=(127.0.0.1:60471)|CmdID=0x10003903|GatewayID=0|GameID=1204
